 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle
1,05182021_4:a_00001,20,724.550,2.250,724.550,2.250,5.713,4.457,137.080
2,05182021_4:a_00001,30,692.233,74.067,692.233,74.067,8.003,4.773,146.990
3,05182021_4:a_00001,23,603.239,100.457,603.239,100.457,5.939,4.931,170.255
4,05182021_4:a_00001,62,747.629,112.371,747.629,112.371,10.084,7.828,12.679
5,05182021_4:a_00001,43,830.267,184.360,830.267,184.360,11.035,4.961,160.996
6,05182021_4:a_00001,43,637.244,247.523,637.244,247.523,7.979,6.862,129.649
7,05182021_4:a_00001,28,817.286,255.071,817.286,255.071,7.322,4.869,124.570
8,05182021_4:a_00001,39,466.705,271.910,466.705,271.910,7.849,6.326,98.108
9,05182021_4:a_00001,39,543.449,292.936,543.449,292.936,8.262,6.010,169.352
10,05182021_4:a_00001,94,772.181,302.745,772.181,302.745,15.233,7.857,84.587
11,05182021_4:a_00001,39,603.731,313.115,603.731,313.115,8.824,5.627,14.415
12,05182021_4:a_00001,27,727.611,314.685,727.611,314.685,6.942,4.952,90.615
13,05182021_4:a_00001,73,666.541,318.500,666.541,318.500,12.735,7.298,139.094
14,05182021_4:a_00001,34,976.735,337.853,976.735,337.853,8.565,5.054,42.202
15,05182021_4:a_00001,28,681.000,356.000,681.000,356.000,6.895,5.171,107.254
16,05182021_4:a_00001,30,462.067,371.700,462.067,371.700,7.506,5.089,35.048
17,05182021_4:a_00001,38,618.079,413.132,618.079,413.132,8.909,5.431,160.764
18,05182021_4:a_00001,38,669.474,423.553,669.474,423.553,8.534,5.670,119.504
19,05182021_4:a_00001,31,404.306,423.532,404.306,423.532,7.961,4.958,158.924
20,05182021_4:a_00001,32,520.000,431.500,520.000,431.500,8.006,5.089,167.047
21,05182021_4:a_00001,39,421.449,442.192,421.449,442.192,8.537,5.817,146.782
22,05182021_4:a_00001,62,627.645,461.403,627.645,461.403,10.084,7.828,138.617
23,05182021_4:a_00001,57,833.482,469.465,833.482,469.465,10.613,6.838,137.760
24,05182021_4:a_00001,110,878.209,482.736,878.209,482.736,13.737,10.196,158.098
