 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle
1,05182021_2:a_00001,26,649.269,88.077,649.269,88.077,7.244,4.570,45.934
2,05182021_2:a_00001,46,453.043,98.196,453.043,98.196,8.174,7.165,0.491
3,05182021_2:a_00001,20,598.250,173.150,598.250,173.150,5.498,4.631,51.842
4,05182021_2:a_00001,26,436.346,221.346,436.346,221.346,6.316,5.241,45.001
5,05182021_2:a_00001,31,805.145,225.984,805.145,225.984,7.568,5.215,145.328
6,05182021_2:a_00001,34,739.412,263.824,739.412,263.824,8.187,5.288,83.841
7,05182021_2:a_00001,31,595.565,279.887,595.565,279.887,7.813,5.052,69.181
8,05182021_2:a_00001,38,446.868,308.158,446.868,308.158,8.616,5.615,70.874
9,05182021_2:a_00001,59,708.042,333.161,708.042,333.161,13.272,5.660,67.731
10,05182021_2:a_00001,48,799.896,357.542,799.896,357.542,8.659,7.058,103.670
11,05182021_2:a_00001,23,390.370,361.717,390.370,361.717,5.884,4.977,59.957
12,05182021_2:a_00001,20,224.250,369.250,224.250,369.250,5.142,4.953,45.003
13,05182021_2:a_00001,58,634.966,376.534,634.966,376.534,9.138,8.081,28.181
14,05182021_2:a_00001,63,533.437,382.960,533.437,382.960,11.235,7.140,37.804
15,05182021_2:a_00001,39,677.577,394.654,677.577,394.654,8.651,5.740,55.693
16,05182021_2:a_00001,34,458.029,403.324,458.029,403.324,8.161,5.304,8.087
17,05182021_2:a_00001,81,561.525,410.488,561.525,410.488,11.002,9.374,59.979
18,05182021_2:a_00001,135,807.693,454.981,807.693,454.981,14.861,11.567,170.213
19,05182021_2:a_00001,26,250.808,450.462,250.808,450.462,6.311,5.245,157.462
20,05182021_2:a_00001,25,232.580,494.060,232.580,494.060,6.787,4.690,55.781
21,05182021_2:a_00001,31,357.145,632.145,357.145,632.145,7.287,5.416,12.117
22,05182021_2:a_00001,24,815.583,644.250,815.583,644.250,8.837,3.458,72.603
23,05182021_2:a_00001,25,679.700,658.260,679.700,658.260,6.122,5.200,83.868
24,05182021_2:a_00001,30,267.700,660.033,267.700,660.033,6.559,5.824,159.488
25,05182021_2:a_00001,25,471.700,679.260,471.700,679.260,6.122,5.200,83.868
26,05182021_2:a_00001,52,391.692,681.788,391.692,681.788,10.889,6.081,86.495
27,05182021_2:a_00001,27,522.611,688.278,522.611,688.278,6.156,5.585,16.845
28,05182021_2:a_00001,27,732.648,691.500,732.648,691.500,9.239,3.721,74.065
29,05182021_2:a_00001,32,590.688,694.000,590.688,694.000,6.954,5.859,0.000
30,05182021_2:a_00001,27,668.500,698.500,668.500,698.500,9.554,3.598,75.823
31,05182021_2:a_00001,52,437.596,705.346,437.596,705.346,8.551,7.743,152.224
32,05182021_2:a_00001,51,538.186,725.931,538.186,725.931,9.058,7.169,40.333
33,05182021_2:a_00001,29,429.914,836.224,429.914,836.224,6.304,5.857,150.650
34,05182021_2:a_00001,24,605.167,875.042,605.167,875.042,5.864,5.211,76.673
35,05182021_2:a_00001,24,861.833,915.375,861.833,915.375,6.111,5.001,19.605
36,05182021_2:a_00001,24,636.750,928.000,636.750,928.000,5.967,5.121,69.495
37,05182021_2:a_00001,36,587.250,937.028,587.250,937.028,7.454,6.150,164.499
38,05182021_2:a_00001,21,767.167,959.357,767.167,959.357,5.538,4.828,50.392
39,05182021_2:a_00001.tif,437,65.006,71.559,65.006,71.559,29.537,18.838,91.257
40,05182021_2:a_00001.tif,25,295.500,55.500,295.500,55.500,5.642,5.642,0.000
41,05182021_2:a_00001.tif,389,440.991,71.546,440.991,71.546,26.455,18.722,90.153
42,05182021_2:a_00001.tif,389,468.991,71.546,468.991,71.546,26.455,18.722,90.153
43,05182021_2:a_00001.tif,389,496.991,71.546,496.991,71.546,26.455,18.722,90.153
44,05182021_2:a_00001.tif,389,524.991,71.546,524.991,71.546,26.455,18.722,90.153
45,05182021_2:a_00001.tif,220,554.432,70.055,554.432,70.055,32.305,8.671,94.653
46,05182021_2:a_00001.tif,25,600.500,55.500,600.500,55.500,5.642,5.642,0.000
47,05182021_2:a_00001.tif,241,613.326,69.185,613.326,69.185,34.091,9.001,84.127
48,05182021_2:a_00001.tif,215,588.086,72.509,588.086,72.509,34.341,7.971,93.398
49,05182021_2:a_00001.tif,175,92.169,73.849,92.169,73.849,25.483,8.744,76.098
50,05182021_2:a_00001.tif,175,109.169,73.849,109.169,73.849,25.483,8.744,76.098
51,05182021_2:a_00001.tif,311,133.021,76.082,133.021,76.082,20.773,19.063,90.497
52,05182021_2:a_00001.tif,175,154.169,73.849,154.169,73.849,25.483,8.744,76.098
53,05182021_2:a_00001.tif,311,192.021,76.082,192.021,76.082,20.773,19.063,90.497
54,05182021_2:a_00001.tif,396,218.301,78.538,218.301,78.538,27.471,18.354,70.561
55,05182021_2:a_00001.tif,344,247.552,75.863,247.552,75.863,22.369,19.580,84.250
56,05182021_2:a_00001.tif,310,275.810,75.029,275.810,75.029,20.260,19.482,110.062
57,05182021_2:a_00001.tif,310,314.810,75.029,314.810,75.029,20.260,19.482,110.062
58,05182021_2:a_00001.tif,451,343.657,80.797,343.657,80.797,29.783,19.281,88.802
59,05182021_2:a_00001.tif,375,385.865,76.796,385.865,76.796,24.066,19.840,85.361
60,05182021_2:a_00001.tif,175,641.169,73.849,641.169,73.849,25.483,8.744,76.098
61,05182021_2:a_00001.tif,344,664.552,75.863,664.552,75.863,22.369,19.580,84.250
62,05182021_2:a_00001.tif,264,691.553,76.117,691.553,76.117,20.926,16.063,93.291
63,05182021_2:a_00001.tif,135,295.500,76.500,295.500,76.500,30.466,5.642,90.000
64,05182021_2:a_00001.tif,135,600.500,76.500,600.500,76.500,30.466,5.642,90.000
65,05182021_2:a_00001.tif,25,574.500,87.500,574.500,87.500,5.642,5.642,0.000
66,05182021_2:a_00001.tif,25,627.500,87.500,627.500,87.500,5.642,5.642,0.000
67,05182021_2:a_00001.tif,116,412.500,98.000,412.500,98.000,32.723,4.514,0.000
68,05182021_2:a_00002,26,649.154,88.500,649.154,88.500,6.494,5.098,18.085
69,05182021_2:a_00002,43,453.012,98.407,453.012,98.407,8.881,6.165,97.234
70,05182021_2:a_00002,20,598.100,172.900,598.100,172.900,5.510,4.621,90.955
71,05182021_2:a_00002,26,436.615,221.500,436.615,221.500,6.787,4.877,24.318
72,05182021_2:a_00002,31,804.952,226.177,804.952,226.177,8.075,4.888,85.668
73,05182021_2:a_00002,36,739.556,264.056,739.556,264.056,8.514,5.383,67.262
74,05182021_2:a_00002,28,595.500,280.000,595.500,280.000,6.718,5.307,69.495
75,05182021_2:a_00002,39,446.936,308.397,446.936,308.397,8.858,5.606,56.300
76,05182021_2:a_00002,61,708.107,333.238,708.107,333.238,13.091,5.933,65.951
77,05182021_2:a_00002,48,799.917,357.979,799.917,357.979,8.949,6.830,85.497
78,05182021_2:a_00002,22,390.773,362.000,390.773,362.000,5.741,4.879,90.000
79,05182021_2:a_00002,20,224.100,369.550,224.100,369.550,6.008,4.239,100.834
80,05182021_2:a_00002,60,634.900,376.850,634.900,376.850,9.633,7.931,113.536
81,05182021_2:a_00002,60,533.700,383.233,533.700,383.233,10.251,7.453,10.577
82,05182021_2:a_00002,41,677.622,394.890,677.622,394.890,8.862,5.890,39.475
83,05182021_2:a_00002,38,457.895,403.526,457.895,403.526,8.188,5.909,104.646
84,05182021_2:a_00002,82,561.366,410.963,561.366,410.963,10.482,9.960,50.323
85,05182021_2:a_00002,26,250.692,450.731,250.692,450.731,6.988,4.738,87.240
86,05182021_2:a_00002,132,807.614,455.129,807.614,455.129,14.736,11.405,170.706
87,05182021_2:a_00002,28,232.821,494.071,232.821,494.071,7.088,5.029,49.333
88,05182021_2:a_00002,31,356.919,632.468,356.919,632.468,7.064,5.588,99.962
89,05182021_2:a_00002,25,815.620,644.500,815.620,644.500,9.553,3.332,82.637
90,05182021_2:a_00002,25,679.300,658.740,679.300,658.740,6.122,5.200,83.868
91,05182021_2:a_00002,28,267.571,660.429,267.571,660.429,7.232,4.929,85.615
92,05182021_2:a_00002,56,391.732,682.179,391.732,682.179,10.690,6.670,71.698
93,05182021_2:a_00002,27,471.685,679.537,471.685,679.537,6.161,5.580,47.055
94,05182021_2:a_00002,24,522.708,688.625,522.708,688.625,5.819,5.251,104.363
95,05182021_2:a_00002,25,732.740,691.500,732.740,691.500,9.570,3.326,80.076
96,05182021_2:a_00002,30,590.533,694.233,590.533,694.233,7.355,5.193,105.290
97,05182021_2:a_00002,27,668.315,699.056,668.315,699.056,8.912,3.857,78.610
98,05182021_2:a_00002,54,437.278,705.889,437.278,705.889,9.504,7.234,96.196
99,05182021_2:a_00002,53,538.255,726.236,538.255,726.236,8.584,7.862,13.352
100,05182021_2:a_00002,30,429.733,836.500,429.733,836.500,7.122,5.363,90.000
101,05182021_2:a_00002,26,605.000,875.346,605.000,875.346,5.982,5.534,90.000
102,05182021_2:a_00002,23,861.500,915.500,861.500,915.500,5.934,4.935,134.999
103,05182021_2:a_00002,22,636.864,928.227,636.864,928.227,5.665,4.944,107.230
104,05182021_2:a_00002,37,587.068,937.446,587.068,937.446,8.249,5.711,100.268
105,05182021_2:a_00002,21,766.976,959.452,766.976,959.452,5.794,4.615,118.494
106,05182021_2:a_00003,29,648.914,88.914,648.914,88.914,7.072,5.221,135.000
107,05182021_2:a_00003,45,453.144,98.567,453.144,98.567,9.435,6.073,82.657
108,05182021_2:a_00003,27,436.574,222.093,436.574,222.093,6.451,5.329,102.492
109,05182021_2:a_00003,32,805.062,226.469,805.062,226.469,8.093,5.034,68.984
110,05182021_2:a_00003,35,739.557,264.157,739.557,264.157,8.027,5.552,62.124
111,05182021_2:a_00003,29,595.741,280.017,595.741,280.017,6.946,5.316,48.013
112,05182021_2:a_00003,37,446.797,308.581,446.797,308.581,8.106,5.812,40.881
113,05182021_2:a_00003,61,707.959,333.598,707.959,333.598,13.135,5.913,63.927
114,05182021_2:a_00003,51,799.755,358.245,799.755,358.245,9.410,6.901,71.910
115,05182021_2:a_00003,22,390.636,362.182,390.636,362.182,5.470,5.121,23.487
116,05182021_2:a_00003,21,224.071,369.595,224.071,369.595,6.432,4.157,79.084
117,05182021_2:a_00003,61,634.910,377.320,634.910,377.320,10.193,7.619,85.383
118,05182021_2:a_00003,61,533.549,383.648,533.549,383.648,10.960,7.086,119.575
119,05182021_2:a_00003,37,677.716,395.041,677.716,395.041,7.411,6.357,166.857
120,05182021_2:a_00003,38,457.711,403.658,457.711,403.658,8.831,5.479,84.539
121,05182021_2:a_00003,83,561.367,411.428,561.367,411.428,11.142,9.484,102.100
122,05182021_2:a_00003,29,250.603,450.672,250.603,450.672,7.121,5.185,80.031
123,05182021_2:a_00003,130,807.577,455.123,807.577,455.123,14.535,11.388,169.420
124,05182021_2:a_00003,25,232.940,494.300,232.940,494.300,6.464,4.925,24.972
125,05182021_2:a_00003,34,356.794,632.824,356.794,632.824,7.856,5.510,75.140
126,05182021_2:a_00003,24,815.625,644.667,815.625,644.667,9.336,3.273,74.326
127,05182021_2:a_00003,24,679.500,659.125,679.500,659.125,6.187,4.939,90.000
128,05182021_2:a_00003,29,267.500,660.500,267.500,660.500,7.722,4.782,65.118
129,05182021_2:a_00003,56,391.929,682.161,391.929,682.161,10.532,6.770,57.960
130,05182021_2:a_00003,23,471.717,679.761,471.717,679.761,5.580,5.248,3.170
131,05182021_2:a_00003,25,522.620,688.860,522.620,688.860,6.007,5.299,85.326
132,05182021_2:a_00003,25,732.820,691.940,732.820,691.940,8.868,3.589,72.603
133,05182021_2:a_00003,33,590.561,694.894,590.561,694.894,8.304,5.060,74.310
134,05182021_2:a_00003,27,668.426,699.056,668.426,699.056,9.106,3.775,73.802
135,05182021_2:a_00003,55,437.518,706.100,437.518,706.100,9.503,7.369,74.981
136,05182021_2:a_00003,52,538.269,726.538,538.269,726.538,9.062,7.306,127.301
137,05182021_2:a_00003,33,429.561,836.894,429.561,836.894,8.304,5.060,74.310
138,05182021_2:a_00003,21,604.929,875.310,604.929,875.310,5.452,4.904,95.004
139,05182021_2:a_00003,23,861.413,916.065,861.413,916.065,6.210,4.716,83.228
140,05182021_2:a_00003,22,636.409,928.409,636.409,928.409,5.554,5.043,134.999
141,05182021_2:a_00003,37,587.149,937.608,587.149,937.608,8.721,5.402,71.800
142,05182021_2:a_00004,30,648.767,89.167,648.767,89.167,7.550,5.059,85.944
143,05182021_2:a_00004,44,453.114,99.000,453.114,99.000,9.298,6.025,74.959
144,05182021_2:a_00004,20,598.150,173.700,598.150,173.700,5.683,4.481,56.815
145,05182021_2:a_00004,28,436.321,222.393,436.321,222.393,7.042,5.062,85.284
146,05182021_2:a_00004,34,804.971,226.588,804.971,226.588,8.587,5.041,63.999
147,05182021_2:a_00004,32,739.375,264.438,739.375,264.438,7.831,5.203,49.978
148,05182021_2:a_00004,30,595.800,280.133,595.800,280.133,7.354,5.194,39.854
149,05182021_2:a_00004,39,446.910,308.910,446.910,308.910,7.986,6.218,13.741
150,05182021_2:a_00004,21,876.690,324.929,876.690,324.929,5.713,4.680,79.337
151,05182021_2:a_00004,60,707.983,333.867,707.983,333.867,13.100,5.832,60.896
152,05182021_2:a_00004,50,799.780,358.600,799.780,358.600,9.435,6.747,60.265
153,05182021_2:a_00004,23,390.717,362.370,390.717,362.370,6.065,4.828,89.037
154,05182021_2:a_00004,21,224.167,369.690,224.167,369.690,6.009,4.450,68.611
155,05182021_2:a_00004,59,635.093,377.534,635.093,377.534,10.474,7.172,70.688
156,05182021_2:a_00004,61,533.549,384.041,533.549,384.041,11.824,6.569,90.810
157,05182021_2:a_00004,37,677.716,395.797,677.716,395.797,8.384,5.619,100.406
158,05182021_2:a_00004,39,457.859,403.705,457.859,403.705,8.785,5.652,69.920
159,05182021_2:a_00004,79,561.462,411.842,561.462,411.842,11.396,8.826,82.347
160,05182021_2:a_00004,129,807.578,455.275,807.578,455.275,14.713,11.163,167.262
161,05182021_2:a_00004,26,250.615,451.154,250.615,451.154,6.787,4.877,60.533
162,05182021_2:a_00004,24,232.833,494.625,232.833,494.625,6.111,5.001,160.395
163,05182021_2:a_00004,31,356.694,632.726,356.694,632.726,7.512,5.254,63.257
164,05182021_2:a_00004,24,815.500,645.000,815.500,645.000,8.534,3.581,79.859
165,05182021_2:a_00004,23,679.543,659.370,679.543,659.370,6.260,4.678,68.964
166,05182021_2:a_00004,28,267.500,660.786,267.500,660.786,7.010,5.085,65.447
167,05182021_2:a_00004,24,471.708,680.042,471.708,680.042,5.970,5.119,70.939
168,05182021_2:a_00004,52,391.731,682.577,391.731,682.577,9.952,6.653,42.333
169,05182021_2:a_00004,25,522.420,689.220,522.420,689.220,6.352,5.011,79.270
170,05182021_2:a_00004,26,732.885,691.923,732.885,691.923,8.849,3.741,78.718
171,05182021_2:a_00004,30,590.567,694.567,590.567,694.567,7.586,5.035,67.413
172,05182021_2:a_00004,26,668.385,699.000,668.385,699.000,8.902,3.719,79.934
173,05182021_2:a_00004,56,437.357,706.196,437.357,706.196,9.928,7.182,66.117
174,05182021_2:a_00004,52,538.038,726.904,538.038,726.904,9.922,6.673,81.660
175,05182021_2:a_00004,30,429.600,836.767,429.600,836.767,7.453,5.125,68.056
176,05182021_2:a_00004,26,605.000,875.654,605.000,875.654,5.982,5.534,90.000
177,05182021_2:a_00004,25,861.420,916.460,861.420,916.460,6.570,4.845,70.626
178,05182021_2:a_00004,22,636.591,928.727,636.591,928.727,5.469,5.122,56.310
179,05182021_2:a_00004,36,587.028,937.750,587.028,937.750,8.684,5.278,68.643
180,05182021_2:a_00005,32,648.938,89.469,648.938,89.469,8.287,4.917,64.471
181,05182021_2:a_00005,46,453.152,99.261,453.152,99.261,9.529,6.146,64.190
182,05182021_2:a_00005,28,436.429,222.607,436.429,222.607,7.372,4.836,67.226
183,05182021_2:a_00005,32,805.000,226.531,805.000,226.531,7.662,5.317,47.186
184,05182021_2:a_00005,36,739.361,264.806,739.361,264.806,7.538,6.081,28.825
185,05182021_2:a_00005,28,595.429,280.571,595.429,280.571,6.950,5.130,164.589
186,05182021_2:a_00005,38,446.658,309.263,446.658,309.263,8.559,5.653,103.015
187,05182021_2:a_00005,60,707.983,333.867,707.983,333.867,13.100,5.832,60.896
188,05182021_2:a_00005,47,799.670,358.798,799.670,358.798,8.716,6.866,61.671
189,05182021_2:a_00005,22,390.682,362.500,390.682,362.500,5.740,4.880,81.276
190,05182021_2:a_00005,21,224.119,369.929,224.119,369.929,5.802,4.608,38.736
191,05182021_2:a_00005,60,634.917,377.817,634.917,377.817,9.957,7.673,59.678
192,05182021_2:a_00005,61,533.549,384.270,533.549,384.270,11.734,6.619,79.026
193,05182021_2:a_00005,37,677.716,396.149,677.716,396.149,8.502,5.541,76.897
194,05182021_2:a_00005,38,457.842,403.842,457.842,403.842,8.730,5.542,60.452
195,05182021_2:a_00005,82,561.415,412.159,561.415,412.159,11.517,9.065,75.906
196,05182021_2:a_00005,131,807.408,455.309,807.408,455.309,14.968,11.143,166.333
197,05182021_2:a_00005,26,250.615,451.154,250.615,451.154,6.787,4.877,60.533
198,05182021_2:a_00005,26,232.654,495.000,232.654,495.000,7.050,4.695,90.000
199,05182021_2:a_00005,29,356.914,632.983,356.914,632.983,7.459,4.950,48.076
200,05182021_2:a_00005,25,815.540,645.180,815.540,645.180,8.800,3.617,73.652
201,05182021_2:a_00005,26,679.423,659.731,679.423,659.731,5.970,5.545,71.565
202,05182021_2:a_00005,32,267.500,661.000,267.500,661.000,7.284,5.594,39.848
203,05182021_2:a_00005,26,471.615,680.308,471.615,680.308,5.925,5.587,42.432
204,05182021_2:a_00005,53,391.915,683.047,391.915,683.047,9.255,7.292,12.647
205,05182021_2:a_00005,23,522.587,689.543,522.587,689.543,5.802,5.048,69.082
206,05182021_2:a_00005,25,732.940,691.980,732.940,691.980,8.937,3.562,77.741
207,05182021_2:a_00005,31,590.403,695.016,590.403,695.016,7.139,5.529,45.723
208,05182021_2:a_00005,27,668.389,699.463,668.389,699.463,9.579,3.589,79.007
209,05182021_2:a_00005,54,437.241,706.463,437.241,706.463,9.564,7.189,42.479
210,05182021_2:a_00005,54,538.056,727.204,538.056,727.204,9.856,6.976,73.300
211,05182021_2:a_00005,31,429.597,836.984,429.597,836.984,7.139,5.529,45.723
212,05182021_2:a_00005,25,604.860,875.980,604.860,875.980,6.005,5.301,54.758
213,05182021_2:a_00005,24,861.458,916.208,861.458,916.208,6.530,4.680,62.051
214,05182021_2:a_00005,21,636.500,928.833,636.500,928.833,5.691,4.698,86.117
215,05182021_2:a_00005,36,586.889,937.917,586.889,937.917,8.611,5.323,68.747
216,05182021_2:a_00006,31,648.855,89.565,648.855,89.565,7.997,4.936,67.338
217,05182021_2:a_00006,45,453.144,99.656,453.144,99.656,8.686,6.596,63.271
218,05182021_2:a_00006,20,598.400,174.350,598.400,174.350,5.600,4.548,59.089
219,05182021_2:a_00006,26,436.385,222.846,436.385,222.846,6.787,4.877,60.533
220,05182021_2:a_00006,33,805.076,226.924,805.076,226.924,7.235,5.808,16.524
221,05182021_2:a_00006,35,738.957,265.157,738.957,265.157,8.416,5.295,108.688
222,05182021_2:a_00006,31,595.468,281.113,595.468,281.113,7.942,4.970,92.702
223,05182021_2:a_00006,38,446.816,309.289,446.816,309.289,8.851,5.466,77.159
224,05182021_2:a_00006,59,708.025,334.042,708.025,334.042,12.994,5.781,59.686
225,05182021_2:a_00006,51,799.637,359.402,799.637,359.402,8.748,7.423,31.290
226,05182021_2:a_00006,23,390.935,362.761,390.935,362.761,5.650,5.183,12.013
227,05182021_2:a_00006,23,224.283,370.413,224.283,370.413,5.757,5.087,159.298
228,05182021_2:a_00006,57,634.904,378.096,634.904,378.096,9.509,7.632,39.605
229,05182021_2:a_00006,62,533.887,384.387,533.887,384.387,11.853,6.660,69.336
230,05182021_2:a_00006,38,677.579,396.395,677.579,396.395,8.313,5.820,66.911
