 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle
1,05182021_8:a_00001,25,398.700,5.820,398.700,5.820,6.875,4.630,118.019
2,05182021_8:a_00001,26,386.038,204.385,386.038,204.385,7.266,4.556,115.032
3,05182021_8:a_00001,39,467.654,219.423,467.654,219.423,7.263,6.837,23.530
4,05182021_8:a_00001,29,442.569,243.672,442.569,243.672,6.835,5.402,19.405
5,05182021_8:a_00001,27,512.056,264.907,512.056,264.907,6.441,5.337,39.713
6,05182021_8:a_00001,56,359.250,372.946,359.250,372.946,10.236,6.966,134.546
7,05182021_8:a_00001,807,270.046,400.396,270.046,400.396,42.688,24.070,132.130
8,05182021_8:a_00001,119,328.088,476.433,328.088,476.433,23.840,6.356,114.283
9,05182021_8:a_00001,32,263.406,521.031,263.406,521.031,8.063,5.053,96.118
10,05182021_8:a_00001,37,440.419,529.635,440.419,529.635,8.100,5.816,132.112
11,05182021_8:a_00001,200,254.535,562.465,254.535,562.465,26.295,9.684,127.803
12,05182021_8:a_00001,47,420.117,588.117,420.117,588.117,9.477,6.314,110.412
13,05182021_8:a_00001,164,298.159,611.530,298.159,611.530,33.623,6.210,125.809
14,05182021_8:a_00001,32,251.062,612.875,251.062,612.875,8.363,4.872,123.713
15,05182021_8:a_00001,75,455.940,622.273,455.940,622.273,13.860,6.890,150.125
16,05182021_8:a_00001,28,351.429,623.714,351.429,623.714,7.334,4.861,111.027
17,05182021_8:a_00001,62,406.065,652.500,406.065,652.500,25.031,3.154,122.681
18,05182021_8:a_00001,63,160.516,649.849,160.516,649.849,11.603,6.913,138.644
19,05182021_8:a_00001,26,191.346,675.231,191.346,675.231,6.485,5.105,126.674
20,05182021_8:a_00001,58,206.190,732.707,206.190,732.707,11.645,6.342,114.235
21,05182021_8:a_00001,115,150.109,741.700,150.109,741.700,12.939,11.316,128.125
22,05182021_8:a_00001,55,261.409,747.173,261.409,747.173,10.512,6.661,138.108
23,05182021_8:a_00001,23,365.109,768.065,365.109,768.065,9.712,3.015,123.266
24,05182021_8:a_00001.tif,437,65.006,71.559,65.006,71.559,29.537,18.838,91.257
25,05182021_8:a_00001.tif,25,295.500,55.500,295.500,55.500,5.642,5.642,0.000
26,05182021_8:a_00001.tif,389,440.991,71.546,440.991,71.546,26.455,18.722,90.153
27,05182021_8:a_00001.tif,389,468.991,71.546,468.991,71.546,26.455,18.722,90.153
28,05182021_8:a_00001.tif,389,496.991,71.546,496.991,71.546,26.455,18.722,90.153
29,05182021_8:a_00001.tif,389,524.991,71.546,524.991,71.546,26.455,18.722,90.153
30,05182021_8:a_00001.tif,220,554.432,70.055,554.432,70.055,32.305,8.671,94.653
31,05182021_8:a_00001.tif,25,600.500,55.500,600.500,55.500,5.642,5.642,0.000
32,05182021_8:a_00001.tif,241,613.326,69.185,613.326,69.185,34.091,9.001,84.127
33,05182021_8:a_00001.tif,215,588.086,72.509,588.086,72.509,34.341,7.971,93.398
34,05182021_8:a_00001.tif,175,92.169,73.849,92.169,73.849,25.483,8.744,76.098
35,05182021_8:a_00001.tif,175,109.169,73.849,109.169,73.849,25.483,8.744,76.098
36,05182021_8:a_00001.tif,311,133.021,76.082,133.021,76.082,20.773,19.063,90.497
37,05182021_8:a_00001.tif,175,154.169,73.849,154.169,73.849,25.483,8.744,76.098
38,05182021_8:a_00001.tif,311,192.021,76.082,192.021,76.082,20.773,19.063,90.497
39,05182021_8:a_00001.tif,396,218.301,78.538,218.301,78.538,27.471,18.354,70.561
40,05182021_8:a_00001.tif,344,247.552,75.863,247.552,75.863,22.369,19.580,84.250
41,05182021_8:a_00001.tif,310,275.810,75.029,275.810,75.029,20.260,19.482,110.062
