 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle
1,05182021_3:a_00001,26,648.808,72.923,648.808,72.923,6.345,5.218,120.332
2,05182021_3:a_00001,39,624.269,143.090,624.269,143.090,8.613,5.765,177.072
3,05182021_3:a_00001,36,554.194,244.889,554.194,244.889,8.723,5.255,52.400
4,05182021_3:a_00001,68,600.647,248.471,600.647,248.471,10.994,7.875,71.742
5,05182021_3:a_00001,29,513.672,267.397,513.672,267.397,7.726,4.779,32.468
6,05182021_3:a_00001,28,460.500,320.786,460.500,320.786,7.010,5.085,65.447
7,05182021_3:a_00001,53,729.066,331.915,729.066,331.915,9.909,6.810,68.047
8,05182021_3:a_00001,28,785.393,349.571,785.393,349.571,7.372,4.836,22.774
9,05182021_3:a_00001,44,704.591,426.750,704.591,426.750,9.570,5.854,22.576
10,05182021_3:a_00001,22,525.000,475.864,525.000,475.864,5.771,4.854,21.926
11,05182021_3:a_00001,29,608.500,493.500,608.500,493.500,7.326,5.040,81.128
12,05182021_3:a_00001,36,683.833,495.750,683.833,495.750,8.469,5.413,42.927
13,05182021_3:a_00001,65,542.069,508.331,542.069,508.331,11.222,7.375,75.793
14,05182021_3:a_00001,32,936.906,536.844,936.906,536.844,7.558,5.391,19.971
15,05182021_3:a_00001,40,409.375,538.875,409.375,538.875,8.808,5.782,34.450
16,05182021_3:a_00001,30,639.400,538.800,639.400,538.800,7.487,5.102,97.932
17,05182021_3:a_00001,22,326.318,554.045,326.318,554.045,5.523,5.071,63.287
18,05182021_3:a_00001,82,819.098,565.780,819.098,565.780,14.833,7.039,6.819
19,05182021_3:a_00001,39,496.372,564.859,496.372,564.859,8.671,5.727,28.637
20,05182021_3:a_00001,30,634.533,596.233,634.533,596.233,7.355,5.193,105.290
21,05182021_3:a_00001,36,781.000,635.667,781.000,635.667,7.770,5.900,165.473
22,05182021_3:a_00001,36,821.556,651.139,821.556,651.139,8.115,5.649,59.903
23,05182021_3:a_00001,38,511.263,665.789,511.263,665.789,8.204,5.897,26.435
24,05182021_3:a_00001,22,423.591,668.727,423.591,668.727,5.469,5.122,56.310
25,05182021_3:a_00001,77,744.695,673.526,744.695,673.526,12.878,7.613,50.640
26,05182021_3:a_00001,27,309.056,673.093,309.056,673.093,6.441,5.337,140.287
27,05182021_3:a_00001,27,306.056,724.389,306.056,724.389,6.868,5.006,40.590
28,05182021_3:a_00001,26,868.500,726.000,868.500,726.000,6.637,4.988,56.310
29,05182021_3:a_00001,54,522.222,732.259,522.222,732.259,9.335,7.365,103.561
30,05182021_3:a_00001,27,279.648,740.315,279.648,740.315,7.157,4.803,70.858
31,05182021_3:a_00001,65,648.654,747.146,648.654,747.146,11.158,7.417,178.927
32,05182021_3:a_00001,66,629.924,767.530,629.924,767.530,10.625,7.909,40.365
33,05182021_3:a_00001,56,799.071,779.661,799.071,779.661,10.181,7.004,50.226
34,05182021_3:a_00001,35,692.300,787.957,692.300,787.957,7.793,5.718,25.942
35,05182021_3:a_00001,20,747.750,814.750,747.750,814.750,5.142,4.953,45.003
36,05182021_3:a_00001,23,655.152,842.109,655.152,842.109,5.993,4.886,76.534
37,05182021_3:a_00001,81,562.623,849.932,562.623,849.932,12.073,8.542,50.639
38,05182021_3:a_00001,28,412.679,901.143,412.679,901.143,7.126,5.003,95.837
39,05182021_3:a_00001,20,773.900,900.550,773.900,900.550,5.225,4.874,45.895
40,05182021_3:a_00001,27,320.426,913.944,320.426,913.944,7.492,4.588,63.121
41,05182021_3:a_00001,55,253.591,939.300,253.591,939.300,9.297,7.532,147.739
42,05182021_3:a_00001,100,483.930,972.680,483.930,972.680,12.879,9.886,119.564
43,05182021_3:a_00001,29,515.293,998.603,515.293,998.603,7.738,4.772,50.727
44,05182021_3:a_00001,35,604.586,1003.757,604.586,1003.757,8.444,5.277,63.501
45,05182021_3:a_00001.tif,437,65.006,71.559,65.006,71.559,29.537,18.838,91.257
46,05182021_3:a_00001.tif,25,295.500,55.500,295.500,55.500,5.642,5.642,0.000
47,05182021_3:a_00001.tif,389,440.991,71.546,440.991,71.546,26.455,18.722,90.153
48,05182021_3:a_00001.tif,389,468.991,71.546,468.991,71.546,26.455,18.722,90.153
49,05182021_3:a_00001.tif,389,496.991,71.546,496.991,71.546,26.455,18.722,90.153
50,05182021_3:a_00001.tif,389,524.991,71.546,524.991,71.546,26.455,18.722,90.153
51,05182021_3:a_00001.tif,220,554.432,70.055,554.432,70.055,32.305,8.671,94.653
52,05182021_3:a_00001.tif,25,600.500,55.500,600.500,55.500,5.642,5.642,0.000
53,05182021_3:a_00001.tif,241,613.326,69.185,613.326,69.185,34.091,9.001,84.127
54,05182021_3:a_00001.tif,215,588.086,72.509,588.086,72.509,34.341,7.971,93.398
55,05182021_3:a_00001.tif,175,92.169,73.849,92.169,73.849,25.483,8.744,76.098
56,05182021_3:a_00001.tif,175,109.169,73.849,109.169,73.849,25.483,8.744,76.098
57,05182021_3:a_00001.tif,311,133.021,76.082,133.021,76.082,20.773,19.063,90.497
