 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle
66,V1.F5 Select:1.93 s,6388,952.019,52.035,952.019,52.035,132.440,61.412,176.376
67,V1.F5 Select:1.93 s,51,437.892,101.284,437.892,101.284,9.014,7.204,141.542
68,V1.F5 Select:1.93 s,22,101.364,109.545,101.364,109.545,8.727,3.210,178.084
69,V1.F5 Select:1.93 s,4861,1005.759,635.139,1005.759,635.139,105.935,58.425,132.013
70,V1.F5 Select:1.93 s,591,725.899,630.278,725.899,630.278,40.491,18.584,171.943
71,V1.F5 Select:1.93 s,46,64.587,792.500,64.587,792.500,7.830,7.480,0.000
72,V1.F5 Select:1.93 s,36596,694.118,941.077,694.118,941.077,256.578,181.603,164.032
73,V1.F5 Select:1.93 s,10877,1032.488,989.918,1032.488,989.918,181.124,76.461,4.665
74,V1.F5 Select:1.93 s,2025,26.857,974.554,26.857,974.554,56.865,45.341,110.882
75,V1.F5 Select:1.93 s,26,61.692,982.346,61.692,982.346,6.165,5.370,132.524
76,V1.F5 Select:2.00 s,4374,922.091,40.960,922.091,40.960,85.347,65.253,178.815
77,V1.F5 Select:2.00 s,10028,1159.894,43.993,1159.894,43.993,152.694,83.619,28.454
78,V1.F5 Select:2.00 s,52,437.904,101.212,437.904,101.212,8.997,7.359,137.544
79,V1.F5 Select:2.00 s,25,1246.540,183.860,1246.540,183.860,8.361,3.807,158.335
80,V1.F5 Select:2.00 s,7806,1253.836,319.667,1253.836,319.667,181.605,54.728,78.934
81,V1.F5 Select:2.00 s,678,1267.947,583.838,1267.947,583.838,35.468,24.339,47.717
82,V1.F5 Select:2.00 s,5546,975.958,654.119,975.958,654.119,101.247,69.744,71.177
83,V1.F5 Select:2.00 s,772,720.864,629.113,720.864,629.113,37.941,25.907,23.577
84,V1.F5 Select:2.00 s,113,57.668,793.102,57.668,793.102,19.897,7.231,177.140
85,V1.F5 Select:2.00 s,48787,568.480,953.172,568.480,953.172,409.968,151.518,11.950
86,V1.F5 Select:2.00 s,11713,972.756,988.077,972.756,988.077,176.416,84.536,176.523
87,V1.F5 Select:2.00 s,800,15.110,979.087,15.110,979.087,37.001,27.529,32.764
88,V1.F5 Select:2.00 s,26,61.692,982.346,61.692,982.346,6.165,5.370,132.524
