 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle
81,D:slice:75,358,574.732,137.115,574.732,137.115,24.439,18.651,5.524
82,D:slice:76,613,520.583,81.632,520.583,81.632,32.836,23.769,159.995
83,D:slice:76,1813,334.964,129.717,334.964,129.717,77.582,29.754,0.959
84,D:slice:76,351,581.531,137.605,581.531,137.605,24.217,18.454,165.979
85,D:slice:77,615,527.300,84.227,527.300,84.227,38.769,20.198,1.382
86,D:slice:77,1897,342.760,128.861,342.760,128.861,63.169,38.236,154.124
87,D:slice:77,351,587.127,139.893,587.127,139.893,27.418,16.300,170.459
88,D:slice:78,624,533.772,84.720,533.772,84.720,31.680,25.079,171.609
89,D:slice:78,1799,356.171,131.106,356.171,131.106,63.736,35.938,18.952
90,D:slice:78,346,594.023,140.130,594.023,140.130,27.340,16.113,179.526
91,D:slice:79,597,541.316,86.396,541.316,86.396,39.185,19.398,171.370
92,D:slice:79,1802,361.775,133.559,361.775,133.559,74.922,30.624,166.813
93,D:slice:79,353,600.146,142.067,600.146,142.067,25.179,17.851,5.457
94,D:slice:80,608,549.780,85.786,549.780,85.786,32.373,23.913,5.414
95,D:slice:80,1873,371.382,130.441,371.382,130.441,51.196,46.581,140.856
96,D:slice:80,348,605.253,142.713,605.253,142.713,23.598,18.776,168.686
97,D:slice:81,583,555.442,87.529,555.442,87.529,37.279,19.912,167.907
98,D:slice:81,1829,385.731,134.338,385.731,134.338,75.097,31.010,6.881
99,D:slice:81,359,611.818,143.681,611.818,143.681,26.919,16.980,169.070
100,D:slice:82,606,561.969,87.535,561.969,87.535,35.588,21.681,10.374
101,D:slice:82,1908,392.723,134.058,392.723,134.058,67.793,35.835,157.894
102,D:slice:82,352,617.935,144.784,617.935,144.784,27.159,16.502,177.481
103,D:slice:83,621,567.750,88.033,567.750,88.033,34.499,22.919,159.331
104,D:slice:83,1814,406.794,135.379,406.794,135.379,57.752,39.993,25.027
105,D:slice:83,366,623.863,145.290,623.863,145.290,25.345,18.387,11.824
106,D:slice:84,623,575.296,89.850,575.296,89.850,38.156,20.789,4.184
107,D:slice:84,1838,413.976,138.174,413.976,138.174,77.774,30.090,173.669
108,D:slice:84,355,631.069,146.444,631.069,146.444,23.894,18.917,167.557
109,D:slice:85,619,581.516,90.857,581.516,90.857,32.408,24.319,165.149
110,D:slice:85,1891,421.659,136.538,421.659,136.538,57.746,41.694,145.214
111,D:slice:85,362,635.787,148.066,635.787,148.066,26.497,17.395,163.472
112,D:slice:86,599,589.821,91.690,589.821,91.690,39.490,19.313,175.526
113,D:slice:86,1832,437.214,138.380,437.214,138.380,69.841,33.398,12.883
114,D:slice:86,346,642.662,148.951,642.662,148.951,27.257,16.163,173.469
115,D:slice:87,318,6.692,73.830,6.692,73.830,24.938,16.236,87.000
116,D:slice:87,624,597.760,91.316,597.760,91.316,31.700,25.063,0.351
117,D:slice:87,1915,444.304,140.217,444.304,140.217,72.752,33.515,163.507
118,D:slice:87,356,648.882,150.225,648.882,150.225,26.154,17.331,4.617
119,D:slice:88,530,11.340,89.262,11.340,89.262,27.823,24.254,44.398
120,D:slice:88,600,603.118,93.113,603.118,93.113,38.522,19.832,170.973
121,D:slice:88,1848,457.821,139.673,457.821,139.673,50.968,46.165,19.219
122,D:slice:88,356,654.135,150.992,654.135,150.992,24.083,18.821,174.883
123,D:slice:89,638,7.036,84.998,7.036,84.998,49.043,16.563,97.548
124,D:slice:89,620,609.790,93.350,609.790,93.350,34.989,22.562,10.699
125,D:slice:89,1875,465.966,143.095,465.966,143.095,77.884,30.652,0.162
126,D:slice:89,365,660.536,151.919,660.536,151.919,26.380,17.617,166.053
127,D:slice:90,1086,20.822,78.085,20.822,78.085,50.404,27.433,8.612
128,D:slice:90,623,615.630,93.805,615.630,93.805,35.572,22.299,159.732
129,D:slice:90,1898,472.798,142.617,472.798,142.617,63.427,38.101,150.362
130,D:slice:90,357,666.819,153.598,666.819,153.598,27.266,16.671,176.006
131,D:slice:91,1282,22.090,86.337,22.090,86.337,53.581,30.464,149.065
132,D:slice:91,630,623.749,95.860,623.749,95.860,37.843,21.197,4.455
133,D:slice:91,1850,488.566,142.670,488.566,142.670,65.301,36.071,19.408
134,D:slice:91,373,673.318,153.873,673.318,153.873,26.593,17.859,8.492
135,D:slice:92,1789,24.972,80.746,24.972,80.746,54.210,42.018,65.575
136,D:slice:92,624,629.931,96.292,629.931,96.292,32.652,24.333,164.318
137,D:slice:92,1925,496.427,145.999,496.427,145.999,75.797,32.336,168.272
138,D:slice:92,358,680.089,155.729,680.089,155.729,24.005,18.989,173.029
139,D:slice:93,1667,35.651,85.701,35.651,85.701,75.516,28.107,5.570
140,D:slice:93,607,638.195,97.324,638.195,97.324,39.836,19.401,175.887
141,D:slice:93,1880,509.160,144.912,509.160,144.912,52.607,45.502,148.800
142,D:slice:93,368,685.152,156.970,685.152,156.970,26.540,17.654,161.152
143,D:slice:94,1842,36.493,84.257,36.493,84.257,71.982,32.582,148.602
144,D:slice:94,629,646.800,96.468,646.800,96.468,31.945,25.070,179.835
145,D:slice:94,1893,518.538,148.206,518.538,148.206,75.657,31.858,5.406
146,D:slice:94,355,692.145,158.072,692.145,158.072,27.537,16.414,174.195
147,D:slice:95,1772,49.428,82.296,49.428,82.296,60.954,37.014,38.946
148,D:slice:95,607,652.525,98.345,652.525,98.345,38.675,19.983,170.333
149,D:slice:95,1910,524.653,148.520,524.653,148.520,67.357,36.105,154.539
150,D:slice:95,358,698.229,159.561,698.229,159.561,26.663,17.095,3.471
151,D:slice:96,1821,57.503,85.263,57.503,85.263,85.133,27.235,175.821
152,D:slice:96,631,659.440,98.617,659.440,98.617,35.233,22.803,10.742
153,D:slice:96,1894,539.454,147.161,539.454,147.161,60.997,39.535,25.680
154,D:slice:96,366,704.038,160.336,704.038,160.336,24.089,19.345,177.725
155,D:slice:97,1865,64.912,82.342,64.912,82.342,65.492,36.258,138.437
156,D:slice:97,632,665.704,99.310,665.704,99.310,35.890,22.421,159.585
157,D:slice:97,1891,548.951,151.361,548.951,151.361,77.606,31.025,172.446
158,D:slice:97,372,710.737,160.672,710.737,160.672,26.035,18.193,163.223
159,D:slice:98,1777,78.331,85.047,78.331,85.047,70.917,31.904,23.062
160,D:slice:98,625,673.809,101.170,673.809,101.170,37.282,21.345,4.975
161,D:slice:98,1901,560.217,149.610,560.217,149.610,56.659,42.719,147.539
162,D:slice:98,366,716.893,163.202,716.893,163.202,27.504,16.943,173.169
163,D:slice:99,1833,80.497,87.600,80.497,87.600,83.315,28.012,165.765
164,D:slice:99,616,680.156,101.503,680.156,101.503,32.701,23.984,162.789
165,D:slice:99,1867,570.664,152.870,570.664,152.870,71.712,33.148,9.475
166,D:slice:99,362,723.793,163.445,723.793,163.445,26.403,17.457,7.080
167,D:slice:100,1832,89.915,84.002,89.915,84.002,57.008,40.917,117.243
168,D:slice:100,610,688.534,102.559,688.534,102.559,39.932,19.450,176.707
169,D:slice:100,1884,576.728,153.891,576.728,153.891,70.557,33.998,158.300
