,Area,x,y,XM,YM,Major,Minor,Angle,frame,particle,dx,dy,time,dv,dv_m,Area_m,dx_m,filename,particle_u
0,570,339.116,59.638999999999996,339.116,59.638999999999996,36.385,19.947,166.513,49,0,6.8799999999999955,0.355000000000004,4.895104895104895,6.889152705521917,45.99659919437702,253.58673000000002,45.93548959999997,D,D0
1,1832,64.652,97.88600000000001,64.652,97.88600000000001,49.848,46.794,150.204,49,1,13.316999999999993,4.22199999999998,4.895104895104895,13.970245989244415,93.27472228900852,815.036648,88.91321438999996,D,D1
2,360,413.57800000000003,108.775,413.57800000000003,108.775,27.088,16.921,168.18599999999998,49,2,6.623999999999967,1.9629999999999939,4.895104895104895,6.908744097156844,46.12740445116419,160.16004,44.22626207999978,D,D2
3,587,345.996,59.994,345.996,59.994,36.503,20.475,8.396,50,0,6.02000000000001,0.1374999999999993,4.9950049950049955,6.021570081797614,40.204036318035676,261.14984300000003,40.19355340000007,D,D0
4,1787,77.969,102.10799999999999,77.969,102.10799999999999,75.566,30.11,5.018,50,1,10.216499999999996,1.8814999999999955,4.9950049950049955,10.3883066233145,69.35929518268523,795.016643,68.21219905499999,D,D1
5,349,420.202,110.738,420.202,110.738,27.085,16.406,175.00099999999998,50,2,6.2879999999999825,0.7449999999999974,4.9950049950049955,6.331979864149899,42.27653999957371,155.26626100000001,41.98290095999989,D,D2
6,604,351.156,59.913999999999994,351.156,59.913999999999994,33.753,22.784000000000002,160.511,51,0,6.32650000000001,1.3049999999999997,5.094905094905095,6.459692504291526,43.129235152628105,268.712956,42.23995275500007,D,D0
7,1849,85.085,101.649,85.085,101.649,65.453,35.968,156.556,51,1,9.997500000000002,0.7355000000000018,5.094905094905095,10.024518267727384,66.9304003825874,822.5997610000001,66.75000832500002,D,D1
8,353,426.154,110.265,426.154,110.265,24.514,18.335,11.99,51,2,6.527499999999975,0.5524999999999949,5.094905094905095,6.5508405949160196,43.73780087485794,157.045817,43.581963424999834,D,D2
9,596,358.649,62.604,358.649,62.604,38.009,19.965,1.868,52,0,6.637999999999977,1.468500000000006,5.194805194805195,6.798495145986331,45.39130858635256,265.153844,44.31973545999985,D,D0
10,1774,97.964,103.579,97.964,103.579,59.345,38.061,22.804000000000002,52,1,9.524500000000003,2.3305000000000007,5.194805194805195,9.805474516819677,65.46791754221444,789.2330860000001,63.59194341500002,D,D1
11,350,433.25699999999995,111.84299999999999,433.25699999999995,111.84299999999999,24.180999999999997,18.429000000000002,168.83700000000002,52,2,6.3995000000000175,1.6075000000000017,5.194805194805195,6.598307093489983,44.05471902189177,155.71115,42.727349665000126,D,D2
12,592,364.43199999999996,62.851000000000006,364.43199999999996,62.851000000000006,31.401999999999997,24.004,167.95,53,0,6.966499999999996,0.8654999999999973,5.294705294705294,7.020057870131837,46.87060977977314,263.37428800000004,46.51302155499998,D,D0
13,1778,104.134,106.31,104.134,106.31,77.146,29.345,170.551,53,1,7.054000000000002,0.33500000000000085,5.294705294705294,7.06195022638931,47.150311218026715,791.012642,47.09723018000001,D,D1
14,351,438.95300000000003,113.48,438.95300000000003,113.48,27.003,16.551,166.873,53,2,6.350000000000023,1.1799999999999997,5.294705294705294,6.458707301000742,43.12265727537263,156.15603900000002,42.39685450000015,D,D2
15,350,445.957,114.20299999999999,445.957,114.20299999999999,27.323,16.31,179.25400000000002,54,2,6.61099999999999,0.9724999999999966,5.394605394605395,6.682146155989097,44.61448477530772,155.71115,44.13946536999993,D,D2
16,1836,112.072,104.249,112.072,104.249,54.88399999999999,42.593,144.846,54,1,11.251999999999995,0.12699999999999534,5.394605394605395,11.252716694203222,75.13067597068583,816.8162040000001,75.12589083999998,D,D1
17,588,372.582,64.335,372.582,64.335,39.277,19.061,172.477,54,0,8.004500000000007,0.3554999999999957,5.394605394605395,8.012390436068385,53.4960868527847,261.594732,53.44340501500005,D,D0
18,594,380.441,63.562,380.441,63.562,31.775,23.802,4.3180000000000005,55,0,6.641999999999996,0.6080000000000041,5.4945054945054945,6.669769711166942,44.53185133745699,264.264066,44.34644213999997,D,D0
19,1781,126.63799999999999,106.564,126.63799999999999,106.564,71.7,31.627,10.209,55,1,10.590499999999992,1.8860000000000028,5.4945054945054945,10.757122582270773,71.82175763136979,792.3473090000001,70.70927363499995,D,D1
20,345,452.175,115.425,452.175,115.425,24.691,17.79,6.859,55,2,5.847000000000008,1.2580000000000027,5.4945054945054945,5.98080036449973,39.931830369644416,153.486705,39.03848949000006,D,D2
21,574,385.866,65.551,385.866,65.551,37.441,19.52,168.96900000000002,56,0,5.83450000000002,0.9975000000000023,5.594405594405594,5.919155049498217,39.520244944333264,255.36628600000003,38.95503111500013,D,D0
22,1833,133.253,108.021,133.253,108.021,70.267,33.214,160.952,56,1,9.67900000000001,0.8940000000000055,5.594405594405594,9.720199432110443,64.89856394238883,815.4815370000001,64.62348893000006,D,D1
23,352,457.651,116.719,457.651,116.719,24.101999999999997,18.595,165.577,56,2,6.005499999999984,1.0575000000000045,5.594405594405594,6.097896071597138,40.71363976435047,156.600928,40.09674168499989,D,D2
24,354,464.186,117.54,464.186,117.54,26.994,16.697,168.692,57,2,6.391500000000008,1.2780000000000058,5.694305694305695,6.518017816023527,43.518654011709806,157.49070600000002,42.673936305000055,D,D2
25,1795,145.996,108.352,145.996,108.352,52.777,43.305,25.954,57,1,10.256,1.8189999999999955,5.694305694305695,10.416059571642243,69.54459246019663,798.5757550000001,68.47592752,D,D1
