,Area,x,y,XM,YM,Major,Minor,Angle,frame,particle,dx,dy,time,dv,dv_m,Area_m,dx_m,filename,particle_u
0,570,339.116,59.638999999999996,339.116,59.638999999999996,36.385,19.947,166.513,49,0,6.8799999999999955,0.355000000000004,4.895104895104895,6.889152705521917,38.41095315032683,176.84193000000002,38.35992159999998,D,D0
1,1832,64.652,97.88600000000001,64.652,97.88600000000001,49.848,46.794,150.204,49,1,13.316999999999993,4.22199999999998,4.895104895104895,13.970245989244415,77.8920844302515,568.3761680000001,74.24986568999998,D,D1
2,360,413.57800000000003,108.775,413.57800000000003,108.775,27.088,16.921,168.18599999999998,49,2,6.623999999999967,1.9629999999999939,4.895104895104895,6.908744097156844,38.52018632578479,111.68964000000003,36.932575679999815,D,D2
3,587,345.996,59.994,345.996,59.994,36.503,20.475,8.396,50,0,6.02000000000001,0.1374999999999993,4.9950049950049955,6.021570081797614,33.573685500968324,182.11616300000003,33.56493140000006,D,D0
4,1787,77.969,102.10799999999999,77.969,102.10799999999999,75.566,30.11,5.018,50,1,10.216499999999996,1.8814999999999955,4.9950049950049955,10.3883066233145,57.92073075975364,554.4149630000001,56.962810904999984,D,D1
5,349,420.202,110.738,420.202,110.738,27.085,16.406,175.00099999999998,50,2,6.2879999999999825,0.7449999999999974,4.9950049950049955,6.331979864149899,35.304396971158255,108.27690100000002,35.05918415999991,D,D2
6,604,351.156,59.913999999999994,351.156,59.913999999999994,33.753,22.784000000000002,160.511,51,0,6.32650000000001,1.3049999999999997,5.094905094905095,6.459692504291526,36.01646773615271,187.39039600000004,35.27384360500006,D,D0
7,1849,85.085,101.649,85.085,101.649,65.453,35.968,156.556,51,1,9.997500000000002,0.7355000000000018,5.094905094905095,10.024518267727384,55.89240331799277,573.6504010000001,55.74176107500002,D,D1
8,353,426.154,110.265,426.154,110.265,24.514,18.335,11.99,51,2,6.527499999999975,0.5524999999999949,5.094905094905095,6.5508405949160196,36.524670295795914,109.51789700000002,36.394533174999864,D,D2
9,596,358.649,62.604,358.649,62.604,38.009,19.965,1.868,52,0,6.637999999999977,1.468500000000006,5.194805194805195,6.798495145986331,37.90548558110701,184.90840400000002,37.01063365999987,D,D0
10,1774,97.964,103.579,97.964,103.579,59.345,38.061,22.804000000000002,52,1,9.524500000000003,2.3305000000000007,5.194805194805195,9.805474516819677,54.67110955174429,550.3817260000001,53.10451646500002,D,D1
11,350,433.25699999999995,111.84299999999999,433.25699999999995,111.84299999999999,24.180999999999997,18.429000000000002,168.83700000000002,52,2,6.3995000000000175,1.6075000000000017,5.194805194805195,6.598307093489983,36.78932308124995,108.58715000000002,35.6808602150001,D,D2
12,592,364.43199999999996,62.851000000000006,364.43199999999996,62.851000000000006,31.401999999999997,24.004,167.95,53,0,6.966499999999996,0.8654999999999973,5.294705294705294,7.020057870131837,39.14082405897097,183.66740800000002,38.84220840499999,D,D0
13,1778,104.134,106.31,104.134,106.31,77.146,29.345,170.551,53,1,7.054000000000002,0.33500000000000085,5.294705294705294,7.06195022638931,39.37439782374945,551.6227220000001,39.330070780000014,D,D1
14,351,438.95300000000003,113.48,438.95300000000003,113.48,27.003,16.551,166.873,53,2,6.350000000000023,1.1799999999999997,5.294705294705294,6.458707301000742,36.01097466624071,108.89739900000002,35.40486950000013,D,D2
15,350,445.957,114.20299999999999,445.957,114.20299999999999,27.323,16.31,179.25400000000002,54,2,6.61099999999999,0.9724999999999966,5.394605394605395,6.682146155989097,37.25677364294813,108.58715000000002,36.86009326999994,D,D2
